N,K,N2,CRC_for_ABP,DampFixed,SNR,testFrames,errorFrames,FER,BER,IT
128,96,5,12,0.02,1.00,1000,939,9.390000e-01,4.699000e-01,95.7000
128,96,5,12,0.02,1.50,1000,894,8.940000e-01,4.465000e-01,92.3120
128,96,5,12,0.02,2.00,1000,773,7.730000e-01,3.851000e-01,83.3490
128,96,5,12,0.02,2.50,1000,604,6.040000e-01,3.024000e-01,69.8890
128,96,5,12,0.02,3.00,1000,411,4.110000e-01,2.056000e-01,52.7810
128,96,5,12,0.02,3.50,1000,220,2.200000e-01,1.093000e-01,34.1920
128,96,5,12,0.02,4.00,1000,134,1.340000e-01,6.746000e-02,25.9220
128,96,5,12,0.04,1.00,1000,435,4.350000e-01,2.176000e-01,55.3740
128,96,5,12,0.04,1.50,1000,253,2.530000e-01,1.273000e-01,39.0510
128,96,5,12,0.04,2.00,1000,97,9.700000e-02,4.874000e-02,23.7150
128,96,5,12,0.04,2.50,1500,51,3.400000e-02,1.717000e-02,15.8590
128,96,5,12,0.04,3.00,6200,50,8.065000e-03,4.000000e-03,11.3920
128,96,5,12,0.04,3.50,52400,50,9.542000e-04,4.644000e-04,8.9380
128,96,5,12,0.04,4.00,389100,50,1.285000e-04,6.339000e-05,7.2430
128,96,5,12,0.06,1.00,1000,256,2.560000e-01,1.282000e-01,38.5840
128,96,5,12,0.06,1.50,1000,141,1.410000e-01,7.088000e-02,26.2710
128,96,5,12,0.06,2.00,1300,52,4.000000e-02,2.019000e-02,14.7720
128,96,5,12,0.06,2.50,3900,52,1.333000e-02,6.760000e-03,10.3540
128,96,5,12,0.06,3.00,14800,50,3.378000e-03,1.701000e-03,7.8730
128,96,5,12,0.06,3.50,135600,50,3.687000e-04,1.817000e-04,6.2310
128,96,5,12,0.06,4.00,1029500,51,4.954000e-05,2.494000e-05,5.0800
128,96,5,12,0.08,1.00,1000,233,2.330000e-01,1.169000e-01,34.7220
128,96,5,12,0.08,1.50,1000,109,1.090000e-01,5.458000e-02,22.2740
128,96,5,12,0.08,2.00,1500,52,3.467000e-02,1.729000e-02,12.3790
128,96,5,12,0.08,2.50,5400,50,9.259000e-03,4.687000e-03,8.2590
128,96,5,12,0.08,3.00,20900,51,2.440000e-03,1.191000e-03,6.1580
128,96,5,12,0.08,3.50,201000,50,2.488000e-04,1.250000e-04,4.8910
128,96,5,12,0.08,4.00,1798900,50,2.779000e-05,1.404000e-05,4.0020
128,96,5,12,0.10,1.00,1000,216,2.160000e-01,1.084000e-01,33.1080
128,96,5,12,0.10,1.50,1000,109,1.090000e-01,5.467000e-02,20.8370
128,96,5,12,0.10,2.00,1400,50,3.571000e-02,1.801000e-02,11.0360
128,96,5,12,0.10,2.50,6300,50,7.937000e-03,3.962000e-03,7.0440
128,96,5,12,0.10,3.00,31300,50,1.597000e-03,7.571000e-04,5.1540
128,96,5,12,0.10,3.50,193400,50,2.585000e-04,1.291000e-04,4.1050
128,96,5,12,0.10,4.00,2334300,50,2.142000e-05,1.073000e-05,3.3640
128,96,5,12,0.12,1.00,1000,210,2.100000e-01,1.056000e-01,31.4920
128,96,5,12,0.12,1.50,1000,105,1.050000e-01,5.237000e-02,19.8980
